operator,dtw,eye,gain_mw
ARMAConv,910.0530469157173,1021.4560697587664,111.40302284304903
GATConv,1007.4373516229017,980.6134514548418,-26.823900168059936
GATv2Conv,983.4592280511965,995.1911976923741,11.731969641177557
GCNConv,979.42089305664,1022.7235199011267,43.30262684448667
GatedGraphConv,924.5858989634575,933.0679275143679,8.4820285509104
LEConv,1031.810510700455,988.3144699895304,-43.49604071092472
RGATConv,934.8094363921178,949.6568359172317,14.847399525113815
RGCNConv,904.2523735432295,972.6463595563783,68.39398601314883
ResGatedGraphConv,891.312535113168,1002.7470286896868,111.43449357651878
SGConv,938.9762801591706,970.2754939684434,31.299213809272715
