operator,graph,seed,rmse_mw
LEConv,dtw,42,1031.810510700455
GatedGraphConv,dtw,42,924.5858989634575
GATv2Conv,dtw,42,983.4592280511965
ResGatedGraphConv,dtw,42,891.312535113168
ARMAConv,dtw,42,910.0530469157173
SGConv,dtw,42,938.9762801591706
RGATConv,dtw,42,934.8094363921178
RGCNConv,dtw,42,904.2523735432295
GATConv,dtw,42,1007.4373516229017
GCNConv,dtw,42,979.42089305664
LEConv,eye,42,988.3144699895304
GatedGraphConv,eye,42,933.0679275143679
GATv2Conv,eye,42,995.1911976923741
ResGatedGraphConv,eye,42,1002.7470286896868
ARMAConv,eye,42,1021.4560697587664
SGConv,eye,42,970.2754939684434
RGATConv,eye,42,949.6568359172317
RGCNConv,eye,42,972.6463595563783
GATConv,eye,42,980.6134514548418
GCNConv,eye,42,1022.7235199011267
