feature,group,importance
netload_lags:NetLoad_l48,netload_lags,4233.637587986781
netload_lags:NetLoad_l47,netload_lags,4213.869962408146
netload_lags:NetLoad_l46,netload_lags,4192.686715829698
netload_lags:NetLoad_l1,netload_lags,4175.620265242663
netload_lags:NetLoad_l2,netload_lags,4174.499254291737
netload_lags:NetLoad_l45,netload_lags,4163.834562540585
netload_lags:NetLoad_l3,netload_lags,4156.497076206714
netload_lags:NetLoad_l44,netload_lags,4136.05924021302
netload_lags:NetLoad_l4,netload_lags,4136.053600778298
netload_lags:NetLoad_l5,netload_lags,4115.900435846002
netload_lags:NetLoad_l6,netload_lags,4106.072385292398
netload_lags:NetLoad_l43,netload_lags,4102.104639895556
netload_lags:NetLoad_l7,netload_lags,4092.305655090627
netload_lags:NetLoad_l8,netload_lags,4088.72156102445
netload_lags:NetLoad_l9,netload_lags,4078.529040870151
netload_lags:NetLoad_l42,netload_lags,4070.8909147112554
netload_lags:NetLoad_l10,netload_lags,4064.448818051429
netload_lags:NetLoad_l11,netload_lags,4051.0486196627166
netload_lags:NetLoad_l41,netload_lags,4048.1342197866215
netload_lags:NetLoad_l12,netload_lags,4026.5158000853785
netload_lags:NetLoad_l40,netload_lags,4010.974629833418
netload_lags:NetLoad_l13,netload_lags,3993.3043105566244
netload_lags:NetLoad_l39,netload_lags,3980.647888987006
netload_lags:NetLoad_l27,netload_lags,3978.7963705392613
netload_lags:NetLoad_l25,netload_lags,3976.0120742312943
netload_lags:NetLoad_l28,netload_lags,3974.7867632996904
netload_lags:NetLoad_l30,netload_lags,3973.0811459864276
netload_lags:NetLoad_l26,netload_lags,3972.997628289026
netload_lags:NetLoad_l24,netload_lags,3970.4850250645386
netload_lags:NetLoad_l29,netload_lags,3970.158793943953
netload_lags:NetLoad_l23,netload_lags,3969.423465495587
netload_lags:NetLoad_l14,netload_lags,3968.611345994018
netload_lags:NetLoad_l22,netload_lags,3962.9547492289125
netload_lags:NetLoad_l21,netload_lags,3960.5432943514033
netload_lags:NetLoad_l38,netload_lags,3953.4734289757644
netload_lags:NetLoad_l20,netload_lags,3950.840914567593
netload_lags:NetLoad_l31,netload_lags,3950.496622202001
netload_lags:NetLoad_l15,netload_lags,3947.185880336033
netload_lags:NetLoad_l19,netload_lags,3940.820880494769
netload_lags:NetLoad_l16,netload_lags,3938.598239035978
netload_lags:NetLoad_l17,netload_lags,3936.6999552429243
netload_lags:NetLoad_l32,netload_lags,3935.0211662376832
netload_lags:NetLoad_l33,netload_lags,3932.4263252965775
netload_lags:NetLoad_l37,netload_lags,3928.7365697459045
netload_lags:NetLoad_l18,netload_lags,3927.6994225492717
netload_lags:NetLoad_l34,netload_lags,3921.052406160825
netload_lags:NetLoad_l35,netload_lags,3917.794006657507
netload_lags:NetLoad_l36,netload_lags,3916.316375105599
exogenous:clearness_sq,exogenous,1942.0194498697933
exogenous:clearness,exogenous,1752.7514772502404
temp_lags:temperature_l-1,temp_lags,1316.2170901910927
temp_lags:temperature_l-2,temp_lags,1312.5828208173034
temp_lags:temperature_l-3,temp_lags,1305.966560023601
temp_lags:temperature_l-4,temp_lags,1299.8136269039435
temp_lags:temperature_l-5,temp_lags,1292.6924074686171
temp_lags:temperature_l-6,temp_lags,1281.1851460676285
temp_lags:temperature_l-7,temp_lags,1268.6059448327785
temp_lags:temperature_l-8,temp_lags,1256.2365384551372
temp_lags:temperature_l-9,temp_lags,1248.9665163606003
temp_lags:temperature_l-10,temp_lags,1231.8467086113094
temp_lags:temperature_l-11,temp_lags,1216.7116552824011
temp_lags:temperature_l-12,temp_lags,1198.904679152694
temp_lags:temperature_l-13,temp_lags,1185.2986465305264
temp_lags:temperature_l-14,temp_lags,1172.7560212561991
exogenous:nebulosity,exogenous,1165.676229882495
temp_lags:temperature_l-15,temp_lags,1159.2886506466548
temp_lags:temperature_l-16,temp_lags,1147.7326383782452
temp_lags:temperature_l-17,temp_lags,1138.439800558973
temp_lags:temperature_l-18,temp_lags,1137.6236611210823
temp_lags:temperature_l-45,temp_lags,1135.9098108516055
temp_lags:temperature_l-46,temp_lags,1134.6422755806022
temp_lags:temperature_l-44,temp_lags,1133.6964648677647
temp_lags:temperature_l-43,temp_lags,1133.5861989046994
temp_lags:temperature_l-22,temp_lags,1133.212623276394
temp_lags:temperature_l-42,temp_lags,1131.4816104640695
temp_lags:temperature_l-47,temp_lags,1131.4345988215068
temp_lags:temperature_l-23,temp_lags,1130.7457834858517
temp_lags:temperature_l-19,temp_lags,1130.7400341869738
temp_lags:temperature_l-20,temp_lags,1128.807730142643
temp_lags:temperature_l-26,temp_lags,1126.8576094397513
temp_lags:temperature_l-27,temp_lags,1126.8321565084989
temp_lags:temperature_l-24,temp_lags,1126.6324638943097
temp_lags:temperature_l-41,temp_lags,1126.5357802174915
temp_lags:temperature_l-21,temp_lags,1126.260313348536
temp_lags:temperature_l-28,temp_lags,1126.0762781134579
temp_lags:temperature_l-25,temp_lags,1125.7847770925528
temp_lags:temperature_l-40,temp_lags,1123.859804362749
temp_lags:temperature_l-29,temp_lags,1123.603777740269
temp_lags:temperature_l-30,temp_lags,1121.3598566058388
temp_lags:temperature_l-39,temp_lags,1120.4776132716386
temp_lags:temperature_l-38,temp_lags,1120.1986564306271
