task,model,mape,rmse_mw,rmse_bootstrap_se_mw,smape
load,LEConv,1.1400961394355793,834.4009680895673,34.51575390126987,
load,GatedGraphConv,1.2221159866685551,881.2474076223043,28.817052004392725,
load,GATv2Conv,1.2177629353571437,881.3016119772333,29.672305972280796,
load,ARMAConv,1.2391496125477746,887.4798688292568,31.554468674786634,
load,ResGatedGraphConv,1.2206065284795093,889.5589416716693,36.17890567542123,
load,SGConv,1.24014133114195,898.1824829750058,33.01315143758793,
load,RGATConv,1.2214601649903032,899.1580531677342,33.516859754338526,
load,RGCNConv,1.2263639886655993,910.2124458165368,43.3182811079019,
load,GCNConv,1.2029958533103815,925.0875151908664,46.22237982987333,
load,GATConv,1.2341632938638447,935.113903874002,46.571878497707765,
load,Uniform average,1.10503382891388,827.6993164539168,37.715771508442714,
load,MLpol (bottom-up),0.9823741404421372,753.9272610085588,37.456739887275425,
load,MLpol (top-level),0.9766390937244148,749.660453818434,36.47062352042199,
netload_direct,FastRGCNConv,,2029.5616628028793,62.34857768219666,3.2523123422431217
netload_direct,FiLMConv,,2032.9663981319381,59.74510802107353,3.277626609790459
netload_direct,GATConv,,2093.575267213111,67.21162243952674,3.387394881779312
netload_direct,GCN2Conv,,1968.7673798349554,59.99825913075959,3.1659235815170854
netload_direct,GMMConv,,2095.6936639666383,62.05291757006358,3.389718976338172
netload_direct,GatedGraphConv,,2133.235116202083,67.69215143314374,3.382791611312994
netload_direct,PANConv,,2090.4117489403334,69.54911732079059,3.3470266755712235
netload_direct,RGATConv,,2076.8788572223298,57.22447628161437,3.406647285485117
netload_direct,ResGatedGraphConv,,2030.115552540357,62.66085728189346,3.281766184751712
netload_direct,SuperGATConv,,2121.1403342070735,71.99297950808874,3.430770599691476
netload_direct,Uniform average,,1911.135396721343,61.13292799870521,3.0484642019551202
netload_direct,MLpol (bottom-up),,1897.9749244326604,60.45313918200551,3.0097042780121286
netload_direct,MLpol (top-level),,1957.5353569497634,67.17606999318609,3.126116617344641
netload_decomposed,FastRGCNConv,,1815.7998758227443,58.1883338304132,2.84293082721101
netload_decomposed,FiLMConv,,1762.491277365291,54.865178751643704,2.767525167041175
netload_decomposed,GATConv,,1857.5195639909864,63.87096768596809,2.885023976938352
netload_decomposed,GCN2Conv,,1928.3047017075662,68.78007913969763,2.9900914964465866
netload_decomposed,GMMConv,,1879.9195477037963,63.13514686039545,2.9126651478519046
netload_decomposed,GatedGraphConv,,1788.0249787142138,54.649980040973226,2.8219201255351094
netload_decomposed,PANConv,,1805.9235439701276,56.7829388294109,2.842153553009348
netload_decomposed,RGATConv,,1845.1519847405846,60.708403149879764,2.885632414785971
netload_decomposed,ResGatedGraphConv,,1822.7640125933606,61.00322867296829,2.833131558481709
netload_decomposed,SuperGATConv,,1857.0696763654569,58.1516417731959,2.9387417194268055
netload_decomposed,Uniform average,,1759.4275712176932,59.432643589055026,2.7348134737420495
netload_decomposed,MLpol (bottom-up),,1739.4341780104226,56.628204887886284,2.7133489106243025
netload_decomposed,MLpol (top-level),,1746.2059486430662,54.701831551926006,2.7323523316674745
